Plo Id|Source Location Id|Destination Location Id|Account Id|Plo Status|Create Date|Publish Date|Confirm Date|Export Date|Order Type|Delivery Type|Plo Line Id|Item Id|Requested Quantity|Unit Price|Total Price|Reference|Dms Location Id|Franchise Code|CustomerOrderReference
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|1|1447384M1|2.0|7.7|15.4||2|MF|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|2|ACW3466380|1.0|66.28|66.28||2|MF|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|3|F260310020290|2.0|30.66|61.32|XX|2|FT|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|4|F385202210110|2.0|34.73|69.46||2|FT|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|5|X504607200000|1.0|5.17|5.17|XX|2|FT|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|6|X548974066000|2.0|3.37|6.74|XX|2|FT|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|7|X607305302000|1.0|11.16|11.16||2|FT|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|8|X830240178000|1.0|26.27|26.27|XX|2|FT|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|9|F743300020640|1.0|1.02|1.02|XX|2|FT|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|10|G260860060050|1.0|13.19|13.19|XX|2|FT|41026010250508_01
PLO_AGRI_RAVAGNOLO_02_5_2025-05-08_02-16-18_0||AGRI_RAVAGNOLO_02|41026010|approved|2025-05-08 02:16:18|2025-05-08 08:34:02||2025-05-09 06:04:59|STK|STOCK|11|VA420689|1.0|40.48|40.48|XX|2|MF|41026010250508_01
